date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-03-05,251.25,247.8300018310547,253.0500030517578,251.52999877929688,7856944.0,JPM,250.44000244140625,37.097397500149555,258.0052001953125,-2.5097174053522298,246.39749938964843,2.083016021819284,226.60669975280763,10.998482857601587,246.2265190404355,268.21347119393954,6.632796284979681,-2.108487959527594,maximum,🚀2.89%<br>$253.05,open,gold,2023-11-21,470.0,152.97000122070312,64.43093205993551,close,2025-02-11,22.0,274.989990234375,-8.531216512674911,279.25,9.926589515023498,Finance,Major Banks,12.73756653,19.7822,317233.0,2025-03-04,250.25,1.0,0.5114880236950503,2025-03-05,251.52999877929688,0.0,-0.0
2025-03-05,350.8299865722656,348.93499755859375,354.10650634765625,352.67999267578125,5323507.0,V,351.520751953125,56.72441017589643,334.55500061035156,5.417641951954999,317.7308013916016,10.999623307249017,294.70275100708005,19.673125368045284,348.1440751602618,365.92792191005066,3.7563597338645227,-1.286128391096264,minimum,💸4.8%<br>$348.93,open,gold,2024-09-09,177.0,285.6099853515625,23.483075089850615,close,2025-02-28,5.0,362.7099914550781,-2.765294316558442,361.82000732421875,2.5261219566134585,Commercial Services,Miscellaneous Commercial Services,36.02635477,10.1308,31600.0,2025-03-05,352.67999267578125,0.0,0.0,2025-03-03,361.82000732421875,2.0,2.5261219566134585
2025-03-05,552.5800170898438,551.3201293945312,560.9899291992188,558.2999877929688,2236085.0,MA,556.155029296875,50.146677937960305,544.2732019042969,2.5771590149202828,531.3689013671875,5.068246627999651,496.8222999572754,12.374180434529647,548.7739487409124,582.9940444231502,4.423080274065594,-1.7062581515923103,minimum,💸5.31%<br>$551.32,open,gold,2024-08-16,201.0,468.8800048828125,19.07097380544198,close,2025-01-30,34.0,566.010009765625,-1.3621706046945792,574.9199829101562,2.890836222644344,Commercial Services,Miscellaneous Commercial Services,40.20104121,13.9139,35300.0,2025-03-05,558.2999877929688,0.0,0.0,2025-03-03,574.9199829101562,2.0,2.890836222644344
2025-03-05,1033.0799560546875,1028.794921875,1050.97998046875,1047.75,1710068.0,COST,1039.887451171875,57.120273729698205,986.9816015625,6.156994045410458,959.0275012207031,9.251298702734378,908.4285015869141,15.336539768370127,1019.8680773855914,1060.8479138253458,1.2500991482076618,-2.661123609106042,,,open,gold,2025-01-22,42.0,944.7000122070312,10.908223400169215,close,2025-02-03,30.0,1005.8300170898438,4.167700525725304,1076.8599853515625,2.7032284370803294,Retail Trade,Specialty Stores,61.52522666,17.0649,333000.0,2025-02-27,1021.7100219726562,6.0,2.5486662034563734,2025-02-13,1076.8599853515625,20.0,2.7032284370803294
2025-03-05,105.83999633789062,103.66999816894531,106.31999969482422,105.44000244140625,16693676.0,XOM,104.99499893188477,38.522171152809456,108.7836003112793,-3.0736231015571214,113.38929992675781,-7.010624009925359,114.3833500289917,-7.818749481737209,104.29203678658897,112.59596675345009,6.786764175219417,-1.088738266537137,,,close,blue,2024-12-11,84.0,111.91999816894531,-5.7898461700806925,open,2024-12-11,84.0,111.91999816894531,-5.7898461700806925,125.37000274658203,15.896944937826552,Energy Minerals,Integrated Oil,13.43099166,7.8743,61000.0,2024-12-20,105.87000274658203,75.0,-0.4061587739872419,2025-01-17,112.31999969482422,47.0,6.12535369668008
2025-03-05,158.05999755859375,157.0500030517578,162.4853057861328,161.55999755859375,7125276.0,ORCL,159.7676544189453,42.52529560804788,168.6178009033203,-4.18568105319631,174.29660049438476,-7.307430494722322,158.0639500808716,2.2117930596656787,156.43317990377514,168.31481814309987,4.180998196695507,-3.173321200973178,,,close,blue,2025-03-04,1.0,157.47000122070312,2.5973177787420365,open,2025-01-10,54.0,154.5,4.569577707827666,190.4499969482422,15.16933570626402,Technology Services,Packaged Software,39.53602193,4.2056,159000.0,2025-01-13,153.9199981689453,51.0,4.963617126127207,2025-01-22,184.22000122070312,42.0,12.300512165865074
2025-03-05,471.07000732421875,471.07000732421875,479.07501220703125,475.9800109863281,2217955.0,UNH,475.072509765625,38.87267161883795,513.44419921875,-7.296642612659154,544.7465997314453,-12.62359210301054,545.8278999328613,-12.796687189336552,464.884549330937,479.5794399268755,0.7562143067917138,-2.331077229986833,,,close,blue,2024-12-17,78.0,485.5199890136719,-1.9648991273714778,open,2025-02-26,7.0,463.5899963378906,2.6726233840919544,625.25,23.87364878267443,Health Services,Managed Health Care,30.62993494,15.6384,400000.0,2025-02-21,466.4200134277344,12.0,2.0496542351039038,2025-03-04,474.6099853515625,1.0,-0.28866346622495875
2025-03-05,974.9199829101562,969.47998046875,995.5999145507812,990.9199829101562,3777329.0,NFLX,982.5399475097656,52.16353450688449,950.3647973632812,4.26732825746412,886.4955963134765,11.779459145756865,776.6684976196289,27.58596311646162,957.674218871311,994.6577879646266,0.37720553818008096,-3.3550402264780566,,,open,gold,2024-08-19,198.0,688.530029296875,43.91819394167615,close,2025-02-12,21.0,1027.31005859375,-3.542268021147077,1058.5999755859375,6.393349162729789,Technology Services,Internet Software/Services,49.97478364,20.2731,14000.0,2025-03-04,972.5800170898438,1.0,1.8857025127032134,2025-02-14,1058.5999755859375,19.0,6.393349162729789
2025-03-05,173.3800048828125,173.30999755859375,175.8699951171875,174.61000061035156,4736861.0,PG,174.58999633789062,60.9726810857614,167.01419982910156,4.547996990089742,168.82679977416993,3.4255229880075344,168.80589950561523,3.4383283532950504,171.3741998516758,176.30179502137108,0.968898920511907,-1.8531588954613043,minimum,💸3.71%<br>$173.31,open,gold,2025-03-03,2.0,175.58999633789062,-0.5581159223064347,open,2025-01-10,54.0,158.55999755859375,10.122353240972238,179.36000061035156,2.6483050757337367,Consumer Non-Durables,Household/Personal Care,27.81920148,6.4479,108000.0,2025-03-05,174.61000061035156,0.0,0.0,2025-03-04,173.17999267578125,1.0,-0.8257350704752087
2025-03-05,164.50999450683594,163.52999877929688,166.46180725097656,165.1199951171875,8743500.0,JNJ,164.99590301513672,65.73756255024824,151.91100006103517,8.695219602823489,153.92240036010742,7.274831168746632,154.9158504486084,6.586895168589746,163.03197690056123,167.59601992561062,1.4995305727000918,-1.264545953471219,minimum,💸3.8%<br>$163.53,open,gold,2025-02-24,9.0,163.74000549316406,0.8427931951431766,close,2025-03-03,2.0,167.27999877929688,-1.2912504052317697,167.36000061035156,1.3384353997340503,Health Technology,Pharmaceuticals: Major,28.48173319,5.8432,138100.0,2025-03-05,165.1199951171875,0.0,0.0,2025-03-04,165.4199981689453,1.0,0.18135839383301988
