date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-11-11,195.15499877929688,191.3000030517578,195.4199981689453,193.16000366210938,175204351.0,NVDA,193.36000061035156,59.02466895092383,184.3776007080078,177.7191003417969,150.22360023498535,4.763270006973319,8.68837580801156,28.581663174069384,191.5760009765625,210.44971541616255,172.70228653696248,8.95097920183192,-10.591073067555513,,,open,gold,2025-05-23,172.0,131.2899932861328,47.12469612298429,close,2025-11-03,8.0,206.8800048828125,-6.6318643159713915,207.0399932861328,6.704013752956928,Electronic Technology,Semiconductors,54.97651914045823,3.5417,36000.0,2025-11-07,188.14999389648438,4.0,2.662774343953145,2025-10-29,207.0399932861328,13.0,6.704013752956928
2025-11-11,269.80999755859375,269.79998779296875,275.8450012207031,275.25,45848160.0,AAPL,272.82249450683594,83.81636398929675,253.90859924316408,235.0152995300293,224.85769989013673,8.405150837919283,17.120034546869856,22.41075139276283,264.8184982299805,280.4042773988997,249.23271906106132,1.872580344741026,-9.452236490077636,,,open,gold,2025-08-08,95.0,229.35000610351562,20.013077250919142,close,2025-11-11,0.0,275.25,0.0,270.3699951171875,-1.804935817932507,Electronic Technology,Telecommunications Equipment,36.90024533133136,7.4879,166000.0,2025-11-03,269.04998779296875,8.0,2.3044090274414453,2025-10-31,270.3699951171875,11.0,-1.804935817932507
2025-11-11,504.79998779296875,502.3487854003906,509.6000061035156,508.67999267578125,16929541.0,MSFT,505.9743957519531,42.45931895830456,513.9333990478516,511.42399932861326,463.60954971313475,-1.0221959463625363,-0.5365424102964034,9.721638173875945,517.1804992675782,541.1939609516664,493.1670375834899,6.391831553046501,-3.049649153820544,maximum,🚀3.31%<br>$509.6,open,gold,2025-05-12,183.0,449.260009765625,13.226190094496747,open,2025-09-05,67.0,495.0,2.763634883996202,542.0700073242188,6.159723688321783,Technology Services,Packaged Software,36.18978507246068,14.1135,228000.0,2025-11-07,496.82000732421875,4.0,2.3871794969446247,2025-11-11,508.67999267578125,0.0,-0.0
2025-11-11,288.20001220703125,287.8800048828125,292.3399963378906,291.739990234375,14104238.0,GOOG,290.11000061035156,79.8084494389947,254.94340026855468,223.45010025024413,197.04235008239746,14.433238878535072,30.561583954382797,48.05953649678747,270.20299911499023,299.65358575219085,240.75241247778962,2.7125508270080756,-17.477061583372066,maximum,🚀🌌2.05x<br>$292.34,open,gold,2025-06-13,151.0,175.8800048828125,65.87444970152185,close,2025-11-10,1.0,290.5899963378906,0.3957444891348638,291.739990234375,-0.0,Technology Services,Internet Software/Services,28.779150061160873,10.2254,183323.0,2025-04-07,149.24000549316406,218.0,95.48377076931838,2025-11-11,291.739990234375,0.0,-0.0
2025-11-11,248.44500732421875,247.22999572753906,249.74989318847656,249.10000610351562,23117997.0,AMZN,248.4899444580078,72.3425664575907,228.24940002441406,226.27450012207032,215.0546501159668,9.135010246191811,10.087529071606127,15.831025262271737,231.84550018310546,260.40656965708047,203.28443070913048,4.538965586723553,-18.392442501726038,,,open,gold,2025-10-31,11.0,244.22000122070312,1.9982003351160404,close,2025-11-11,0.0,249.10000610351562,0.0,254.0,1.929131455308808,Retail Trade,Internet Retail,35.190574407368686,7.2036,1556000.0,2025-11-07,244.41000366210938,4.0,1.9189077251887232,2025-11-03,254.0,8.0,1.929131455308808
2025-11-11,358.9700012207031,349.6700134277344,361.885009765625,351.9599914550781,15645587.0,AVGO,355.7775115966797,55.21933430213576,347.1998010253906,317.7068006896973,263.1942499542236,1.3710233749066436,10.781384185362718,33.726322484740145,357.0684982299805,380.55182676934055,333.58516969062043,8.123603821007519,-5.2207132090474895,,,open,gold,2025-05-15,180.0,232.63999938964844,51.289542803677875,close,2025-10-30,12.0,376.4700012207031,-6.510481495511289,385.9800109863281,8.813932992103835,Electronic Technology,Semiconductors,89.91875734505135,4.0293,37000.0,2025-11-07,349.42999267578125,4.0,0.724035953503388,2025-10-29,385.9800109863281,13.0,8.813932992103835
2025-11-11,628.125,619.4000244140625,629.5599975585938,627.0800170898438,13047007.0,META,624.4800109863281,21.37820832982841,721.9198010253906,729.0301995849609,678.5048004150391,-13.137163408018404,-13.984356553837918,-7.5791333080825645,689.3484985351563,793.963894173428,584.7331028968846,26.61285203410879,-6.753031995738434,,,close,blue,2025-11-03,8.0,637.7100219726562,-1.666902591546271,open,2025-10-31,11.0,648.3499755859375,-3.2806291813108013,785.22998046875,20.140591586237854,Technology Services,Internet Software/Services,27.707425703201633,23.1847,74067.0,2025-11-07,621.7100219726562,4.0,0.8637459470491882,2025-11-10,631.760009765625,1.0,0.740786470089716
2025-11-11,439.3999938964844,432.3599853515625,442.489990234375,439.6199951171875,59428663.0,TSLA,437.42498779296875,50.16370163215885,425.3979998779297,374.66819946289064,338.24819999694824,3.3432209938313973,17.33581759738594,29.96964806350895,446.05150146484374,468.5158871233108,423.5871158063767,6.572924873087405,-3.6469859171298635,,,open,gold,2025-05-27,168.0,362.8900146484375,21.14414212887199,close,2025-09-11,61.0,368.80999755859375,19.19958732879632,468.3699951171875,6.138309520191765,Consumer Durables,Motor Vehicles,293.7458238674329,1.6364,125665.0,2025-11-07,429.5199890136719,4.0,2.351463578379387,2025-11-03,468.3699951171875,8.0,6.138309520191765
2025-11-11,966.5499877929688,965.2849731445312,999.9199829101562,988.6199951171875,3879669.0,LLY,982.6024780273438,88.6229286665195,809.8777990722656,778.8733013916016,794.9281002807617,22.070267421785772,26.929501030634206,24.365964012093123,861.4950012207031,981.3788936759131,741.6111087654931,-0.732445376083668,-24.985220567222576,maximum,🚀60.3%<br>$999.92,open,gold,2025-10-06,36.0,845.0499877929688,16.98952835904808,close,2025-11-03,8.0,896.530029296875,10.27182166921239,988.6199951171875,-0.0,Health Technology,Pharmaceuticals: Major,48.89390050297482,20.2526,47000.0,2025-08-08,625.6500244140625,95.0,58.01485759439646,2025-11-11,988.6199951171875,0.0,-0.0
2025-11-11,317.5,315.2799987792969,319.04998779296875,315.6199951171875,4924655.0,JPM,317.1649932861328,88.7009347436483,306.8110003662109,299.2576000976562,276.5215997314453,2.8711469733686545,5.467662313067989,14.139363949765272,305.8164993286133,319.9759514428135,291.6570472144131,1.380126859202524,-7.59234150988346,minimum,💸1.34%<br>$315.28,open,gold,2025-05-13,182.0,263.010009765625,20.00303539718682,close,2025-11-10,1.0,316.8900146484375,-0.40077612816515895,316.8900146484375,0.40077612816515895,Finance,Major Banks,15.63326563970479,20.2261,317233.0,2025-11-11,315.6199951171875,0.0,0.0,2025-11-10,316.8900146484375,1.0,0.40077612816515895
